id,name,repeat+AF8-id,batch+AF8-size,learning+AF8-rate,env+AF8-name,epsilon+AF8-decay,debug,is+AF8-curiosity,episode,e+AF8-score,e+AF8-score+AF8-min,e+AF8-score+AF8-max,score+AF8-avg,score+AF8-best,loss,,,,,,,,,,,,,,,,,,
415,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-42+AF8-415,42,64,0.1,CartPole+AC0-v0,0.0001,False,False,50,15,1,1,19.64,46,3.83757562637329,,,,,,,,,,,,,,,,,,
411,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-42+AF8-411,42,64,0.1,CartPole+AC0-v0,0.0001,False,False,50,14,1,1,19.82,43,3.32031039680753,,,,,,,,,,,,,,,,,,
440,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-44+AF8-440,44,64,0.01,CartPole+AC0-v0,0.01,False,False,50,8,1,1,10.96,45,3.75113356113434,,,,,,,,,,,,,,,,,,
416,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-42+AF8-416,42,64,0.1,CartPole+AC0-v0,0.0001,False,False,50,18,1,1,22.04,47,2.8686640130149,,,,,,,,,,,,,,,,,,
403,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-41+AF8-403,41,64,0.01,CartPole+AC0-v0,0.0001,False,False,50,44,1,1,21.24,48,1.9131469713016,,,,,,,,,,,,,,,,,,
422,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-43+AF8-422,43,64,0.001,CartPole+AC0-v0,0.01,False,False,50,13,1,1,10.92,50,2.44017898119413,,,,,,,,,,,,,,,,,,
426,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-43+AF8-426,43,64,0.001,CartPole+AC0-v0,0.01,False,False,50,9,1,1,10.84,29,1.64320086108314,,,,,,,,,,,,,,,,,,
409,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-41+AF8-409,41,64,0.01,CartPole+AC0-v0,0.0001,False,False,50,18,1,1,20.14,88,2.29867643117905,,,,,,,,,,,,,,,,,,
402,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-41+AF8-402,41,64,0.01,CartPole+AC0-v0,0.0001,False,False,50,15,1,1,21.94,59,4.66367573738098,,,,,,,,,,,,,,,,,,
404,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-41+AF8-404,41,64,0.01,CartPole+AC0-v0,0.0001,False,False,50,23,1,1,23.34,49,2.70148471645687,,,,,,,,,,,,,,,,,,
383,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-39+AF8-383,39,64,0.1,CartPole+AC0-v0,0.001,False,False,50,32,1,1,18.42,44,2.37195197027177,,,,,,,,,,,,,,,,,,
410,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-41+AF8-410,41,64,0.01,CartPole+AC0-v0,0.0001,False,False,50,24,1,1,23.18,69,2.15542774399122,,,,,,,,,,,,,,,,,,
428,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-43+AF8-428,43,64,0.001,CartPole+AC0-v0,0.01,False,False,50,9,1,1,11.26,42,2.36959739526113,,,,,,,,,,,,,,,,,,
316,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-32+AF8-316,32,32,0.01,CartPole+AC0-v0,0.0001,False,False,50,16,1,1,21.24,66,2.31754018366337,,,,,,,,,,,,,,,,,,
401,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-41+AF8-401,41,64,0.01,CartPole+AC0-v0,0.0001,False,False,50,37,1,1,23.1,64,2.76343105129293,,,,,,,,,,,,,,,,,,
407,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-41+AF8-407,41,64,0.01,CartPole+AC0-v0,0.0001,False,False,50,14,1,1,22.54,50,2.97768920660019,,,,,,,,,,,,,,,,,,
529,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-53+AF8-529,53,124,0.01,CartPole+AC0-v0,0.01,False,False,50,10,1,1,11.8,41,1.01515241265297,,,,,,,,,,,,,,,,,,
413,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-42+AF8-413,42,64,0.1,CartPole+AC0-v0,0.0001,False,False,50,23,1,1,23.4,52,2.90033856423005,,,,,,,,,,,,,,,,,,
319,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-32+AF8-319,32,32,0.01,CartPole+AC0-v0,0.0001,False,False,50,25,1,1,20.02,59,2.09238466262817,,,,,,,,,,,,,,,,,,
412,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-42+AF8-412,42,64,0.1,CartPole+AC0-v0,0.0001,False,False,50,16,1,1,25.64,73,4.58743700385094,,,,,,,,,,,,,,,,,,
329,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-33+AF8-329,33,32,0.1,CartPole+AC0-v0,0.0001,False,False,50,30,1,1,20.6,63,4.52640498280525,,,,,,,,,,,,,,,,,,
313,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-32+AF8-313,32,32,0.01,CartPole+AC0-v0,0.0001,False,False,50,37,1,1,21.46,49,2.76055191819732,,,,,,,,,,,,,,,,,,
439,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-44+AF8-439,44,64,0.01,CartPole+AC0-v0,0.01,False,False,50,47,1,1,16.92,48,2.35425653609824,,,,,,,,,,,,,,,,,,
406,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-41+AF8-406,41,64,0.01,CartPole+AC0-v0,0.0001,False,False,50,22,1,1,25.24,81,2.65403247421438,,,,,,,,,,,,,,,,,,
443,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-45+AF8-443,45,64,0.1,CartPole+AC0-v0,0.01,False,False,50,24,1,1,14.54,29,2.70475040624539,,,,,,,,,,,,,,,,,,
326,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-33+AF8-326,33,32,0.1,CartPole+AC0-v0,0.0001,False,False,50,11,1,1,20.36,56,3.89515303481709,,,,,,,,,,,,,,,,,,
315,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-32+AF8-315,32,32,0.01,CartPole+AC0-v0,0.0001,False,False,50,23,1,1,22.86,60,2.41301102741905,,,,,,,,,,,,,,,,,,
323,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-33+AF8-323,33,32,0.1,CartPole+AC0-v0,0.0001,False,False,50,13,1,1,23.14,98,3.70856933410351,,,,,,,,,,,,,,,,,,
368,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-37+AF8-368,37,64,0.001,CartPole+AC0-v0,0.001,False,False,50,11,1,1,15.78,42,3.35337344082919,,,,,,,,,,,,,,,,,,
393,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-40+AF8-393,40,64,0.001,CartPole+AC0-v0,0.0001,False,False,50,19,1,1,19.74,68,3.57601005780069,,,,,,,,,,,,,,,,,,
322,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-33+AF8-322,33,32,0.1,CartPole+AC0-v0,0.0001,False,False,50,18,1,1,22.3,56,4.28289376364814,,,,,,,,,,,,,,,,,,
320,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-32+AF8-320,32,32,0.01,CartPole+AC0-v0,0.0001,False,False,50,28,1,1,21.38,60,2.88728359022311,,,,,,,,,,,,,,,,,,
312,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-32+AF8-312,32,32,0.01,CartPole+AC0-v0,0.0001,False,False,50,16,1,1,22.36,60,2.95621750131249,,,,,,,,,,,,,,,,,,
